My	PRP$
dog	NN
also	RB
likes	VBZ
eating	JJ
sausage.The	NN
culture	NN
of	IN
our	PRP$
company	NN
is	VBZ
very	RB
open	JJ
	
fast	JJ
pace	NN
	
direct	JJ
and	CC
highly	RB
driven	JJ
by	IN
performance	NN
                .	.
	
    I	PRP
lead	VBP
up	RP
the	DT
Finance	NNP
team	NN
for	IN
my	PRP$
company	NN
in	IN
Asia	NNP
Pacific	NNP
-LRB-	-LRB-
including	VBG
China	NNP
	
India	NNP
and	CC
Japan	NNP
-RRB-	-RRB-
.	.
	
    I	PRP
am	VBP
not	RB
a	DT
micro-manager	NN
but	CC
I	PRP
am	VBP
very	RB
detailed	JJ
oriented	JJ
and	CC
I	PRP
drive	VBP
my	PRP$
team	NN
collectively	RB
to	TO
meet	VB
the	DT
goals	NNS
          .	.
	
    I	PRP
take	VBP
pride	NN
in	IN
partnering	VBG
with	IN
the	DT
business	NN
and	CC
supporting	VBG
them	PRP
to	TO
the	DT
fullest	JJS
from	IN
FP&A	NNP
to	TO
the	DT
operational	JJ
part	NN
of	IN
Finance	NNP
e.g	NN
Ledger	NNP
	
AR	NNP
and	CC
AP	NNP
           .	.
	
    The	DT
role	NN
that	IN
I	PRP
'm	VBP
hiring	VBG
is	VBZ
a	DT
newly	RB
created	VBN
role	NN
as	IN
I	PRP
'm	VBP
looking	VBG
to	TO
split	VB
the	DT
team	NN
for	IN
business	NN
partnering	NN
and	CC
a	DT
team	NN
to	TO
manage	VB
the	DT
finance	NN
operations	NNS
               .	.
	
    This	DT
role	NN
is	VBZ
to	TO
look	VB
after	IN
Asia	NNP
Pacific	NNP
and	CC
will	MD
be	VB
travelling	VBG
up	RP
to	TO
75	CD
%	NN
of	IN
the	DT
time	NN
         .	.
	
    The	DT
team	NN
is	VBZ
lean	JJ
and	CC
we	PRP
are	VBP
looking	VBG
at	IN
the	DT
right	JJ
model	NN
to	TO
support	VB
the	DT
business	NN
             .	.
	
    I	PRP
'm	VBP
looking	VBG
at	IN
someone	NN
to	TO
be	VB
able	JJ
to	TO
drive	VB
the	DT
strategy	NN
	
manage	VB
stakeholders	NNS
and	CC
build	VB
up	RP
the	DT
team	NN
.	.
